FORM_ID,FORM_NAME
202WSDSK,WILCOX/SMPSN DOLO/WODFD/MSPN LM/RD FRK/SKINNER/SD/
202WSHWU,VIOLA / SYLVAN / HUNTON / WOODFORD / UNCONFORMITY LOWER/SD/
202WSLK,WISE LAKE
202WSMRS,WILCOX/SMPSN DL/ WODFD/MISSI LM/ MISSI CHT/RD FRK/SKNR LW/BA
202WSWHR,WILCOX/SIMPSON DOLO/WOODFORD/SH//MISSISSIPPIAN/RED FORK
202WSWMR,WILCOX / SIMPSON DOLO / WOODFORD/SD/ / MISS CHAT / RED FORK
202WSWMS,WILCOX / SIMPSON DOLO / WOODFORD / MISSISSIPPIAN / RED FORK
202WSWRF,WILCOX / SIMPSON DOLO / WOODFORD / MISS L / MISS U/ RED FORK
202WWDML,WILCOX / WOOD FORD / MISSISSIPPIAN LIME
202WX1MC,WILCOX 1 / MISSISSIPPIAN / CLEVELAND
202WXBLC,WILCOX / MISSISSIPPIAN / BIG LIME-OSWEGO / CLEVELAND
202WXDR,WILCOX / DUTCHER
202WXDRT,WILCOX / DUTCHER / TANEHA
202WXSRS,WILCOX/SIMPSON DOLO/WOODFORD/MISS/RED FRK/SKINER/SD/
203BMLK,BUTTERMILK
203BRRD,BRAINARD
203CNCN,CINCINNATIAN
203CSON,CASON
203EDEN,EDEN
203ELGN,ELGIN /LM/
203FRAK,FORT ATKINSON
203FRVL,FERNVALE
203GMCN,GAMACHIAN
203MQKD,MAQUOKETA DOLO
203MQKT,MAQUOKETA
203MQKTS,MAQUOKETA SH
203MSVL,MAYSVILLE
203OCHT,OUACHITA
203ODVCU,ORDOVICIAN UPPER
203PKCK,POLK CREEK
203RCMD,RICHMOND
203SLVN,SYLVAN
203SLVNL,SYLVAN BASAL
203SMHWD,SYLVAN / MISENER-HUNTON / WOODFORD
203SNHWM,SYLVAN / HUNTON / WOODFORD / MISSISSIPPIAN
203SNWFD,SYLVAN / WOODFORD
203SQTC,SEQUATCHIE
203SVNLR,SYLVAN LOWER
203SVNUP,SYLVAN UPPER
203SWDMS,SYLVAN / WOODFORD / MISSISSIPPIAN
203THBS,THEBES
203VLMN,VALMONT
209ODVC,ORDOVICIAN
209OZRK,OZARKIAN
219MSVL,MISENER-VIOLA
251ALBN,ALBION
251ALXD,ALEXANDRIAN
251BLDG,BLANDING
251BSFD,BRASSFIELD
251CBWS,CHIMNEYHILLBOISDARCWOODFORDSYCAMORE
251CHHWF,CHIMNEYHILL / HUNTON / WOODFORD
251CLSM,CHIMNEYHILL / SYCAMORE
251CMNL,CHIMNEYHILL
251CMNL1,CHIMNEYHILL 1
